crate	role	representations	tasks
deltalake	Facade and feature selection	Re-exports core and optional adapters; zero locally owned items does not mean no capability	delta.open
deltalake-core	Table state, high-level operations, commits, Delta-aware DataFusion integration	Prefer public operation before custom log actions or internal plans	delta.read
buoyant_kernel	Protocol, schema, snapshot/scan and engine interfaces	Cargo alias delta_kernel; fork commit and internal-api feature must remain explicit	delta.kernel
buoyant_kernel_engine	Default kernel execution and I/O support	Cargo alias delta_kernel_default_engine; distinguish engine primitives from high-level Delta operations	delta.kernel
deltalake-aws	S3 object/log-store integration	Feature selection, factory/handler registration, options and publication backend	delta.storage
deltalake-azure	Azure object/log-store integration	Credentials and scheme/factory configuration are independent of query planning	delta.storage
deltalake-gcp	GCS object/log-store integration	Backend behavior must be qualified independently of S3/Azure	delta.storage
deltalake-hdfs	HDFS storage adapter	Native/platform environment and handler requirements need explicit qualification	delta.storage
deltalake-lakefs	LakeFS log-store/storage integration	LakeFS service state and configuration are outside local Delta table semantics	delta.storage
deltalake-mount	Mount URL object/log-store factories	Map supported URL schemes and environment prerequisites from exact implementation	delta.storage
deltalake-opendal	OpenDAL adapter and service registration	Service-specific features; opendal+ scheme avoids collisions; enabled services are not all services	delta.storage
deltalake-catalog-glue	Glue catalog integration	Catalog lookup is separate from table storage and table protocol support	delta.catalog
deltalake-catalog-unity	Unity catalog/client and DataFusion catalog integration	Discovery, auth, provider freshness and backend features have separate contracts	delta.catalog
