package	role	first_task_route	boundary	qualification
deltalake	Facade and feature selection	delta.open	Re-exports core and optional adapters; zero locally owned items does not mean no capability	Local facade composition executed
deltalake-core	Table state, high-level operations, commits, Delta-aware DataFusion integration	delta.read	Prefer public operation before custom log actions or internal plans	Four local planning controls; other operations not yet qualified
buoyant_kernel	Protocol, schema, snapshot/scan and engine interfaces	delta.kernel	Cargo alias delta_kernel; fork commit and internal-api feature must remain explicit	Acquired API and source; no independent custom-engine qualification
buoyant_kernel_engine	Default kernel execution and I/O support	delta.kernel	Cargo alias delta_kernel_default_engine; distinguish engine primitives from high-level Delta operations	Acquired API; exercised transitively by local probes
deltalake-aws	S3 object/log-store integration	delta.storage	Feature selection, factory/handler registration, options and publication backend	Documentation profile only; remote behavior not_run
deltalake-azure	Azure object/log-store integration	delta.storage	Credentials and scheme/factory configuration are independent of query planning	Documentation profile only; remote behavior not_run
deltalake-gcp	GCS object/log-store integration	delta.storage	Backend behavior must be qualified independently of S3/Azure	Documentation profile only; remote behavior not_run
deltalake-hdfs	HDFS storage adapter	delta.storage	Native/platform environment and handler requirements need explicit qualification	Documentation profile only; platform behavior not_run
deltalake-lakefs	LakeFS log-store/storage integration	delta.storage	LakeFS service state and configuration are outside local Delta table semantics	Documentation profile only; service behavior not_run
deltalake-mount	Mount URL object/log-store factories	delta.storage	Map supported URL schemes and environment prerequisites from exact implementation	Documentation profile only; adapter behavior not_run
deltalake-opendal	OpenDAL adapter and service registration	delta.storage	Service-specific features; opendal+ scheme avoids collisions; enabled services are not all services	Documentation profile includes fs/memory; service runtime not_run
deltalake-catalog-glue	Glue catalog integration	delta.catalog	Catalog lookup is separate from table storage and table protocol support	Documentation profile only; remote behavior not_run
deltalake-catalog-unity	Unity catalog/client and DataFusion catalog integration	delta.catalog	Discovery, auth, provider freshness and backend features have separate contracts	Documentation profile only; remote behavior not_run
