B001	reachability	confirmed	Does the hosted document carry NO item named add_custom_field while the private capture does?	item:add_custom_field in docs.rs datafusion-tracing@55.0.0	exit:1	the private capture of the same version	exit:0	opposite	no index entry named 'add_custom_field'
B002	reachability	confirmed	Does the hosted document SHOW add_custom_field being called while documenting no such method?	prose:.add_custom_field( in docs.rs datafusion-tracing@55.0.0	exit:0	the private capture of the same version	exit:0	record-both	, 64, 3, 10).map(|fmt| fmt.to_string())         }))         .add_custom_field("env", "production")
S001	exec-instrumentation	confirmed	Does registering the rule produce a node span at all?	plain	InstrumentedExec	bare	absent:InstrumentedExec	opposite	)","otel.name":"DataSourceExec","name":"InstrumentedExec"},"spans":[{"datafusion.boundedness":"B
S002	preview	confirmed	Does preview_limit(0) suppress datafusion.preview?	preview-zero	absent:datafusion.preview	preview-on	datafusion.preview	opposite	absent 'datafusion.preview'
S003	metrics	confirmed	Does record_metrics(false) suppress the datafusion.metrics.* fields?	metrics-off	absent:datafusion.metrics.	metrics-on	datafusion.metrics.output_rows	opposite	absent 'datafusion.metrics.'
S004	exec-instrumentation	confirmed	Does add_custom_field reach a span only when the macro also declares the key?	custom-undeclared	absent:"env"	custom-declared	"env"	opposite	absent '"env"'
S005	preview	confirmed	Does pretty_format_compact_batch draw the |===| header rule?	preview-on	|===	preview-zero	absent:|===	opposite	----+---------+\n| column1 | column2 |\n|=========+=========|\n| 1       | alpha   |
S006	span-contract	recorded	Do the node spans carry the CALLING crate's target rather than datafusion_tracing?	plain	"target":"probe"	plain	absent:"target":"datafusion_tracing"	record-both	usy":"<VARIES>","time.idle":"<VARIES>"},"target":"probe","span":{"datafusion.boundedness":"Bound
S007	rule-instrumentation	confirmed	Does full() emit Rule spans that phase_only() does not?	rules-full	"Rule"	rules-phase-only	absent:"Rule"	opposite	":"CombinePartialFinalAggregate","name":"Rule"},"spans":[{"logical_plan":"SubqueryAlia
S008	rule-instrumentation	confirmed	Can the undocumented builder instrument the physical optimizer alone?	rules-physical-only	Phase	rules-full	Phase	differs	.name":"optimize_physical_plan","name":"Phase"},"spans":[{"logical_plan":"SubqueryAli
S009	subscriber-wiring	confirmed	Does an INFO filter drop instrumentation emitted at DEBUG entirely?	debug-filtered-to-info	absent:InstrumentedExec	info-filtered-to-info	InstrumentedExec	opposite	absent 'InstrumentedExec'
S010	subscriber-wiring	confirmed	Does the DEBUG-level macro emit at DEBUG when nothing filters it?	debug-level	"level":"DEBUG"	plain	absent:"level":"DEBUG"	opposite	{"level":"DEBUG","fields":{"message":"close","time.busy"
