How do I configure InstrumentationOptions?	Configuring it	catalogs/options.md	hosted builder documentation	hosted builder documentation: the builder methods are omitted; consult the private capture and callable public builder() route	rg -P '\treachable-undocumented\t' content/index/methods.tsv | cut -f1,2	-
How do I instrument the object store?	Calling it	seams/object-store.md	InstrumentationOptions	InstrumentationOptions: object-store instrumentation is a separate crate and a separate call; no option enables it	rg -P 'instrument_object_store' content/index/symbols.tsv	-
How do I record DataFusion metrics on the spans?	Configuring it	seams/metrics.md	the metrics module	the metrics module: metrics.rs is private; record_metrics(true) on the options builder is the only switch	rg -P '\tmetric\t' content/index/span-fields.tsv | head -5	S003
How do I set up a subscriber and an OTLP exporter?	Wiring it up	corpus/examples/otlp.rs	this library	this library: it emits spans and collects nothing; until a Subscriber is installed there is no output at all	rg -n 'tracing_opentelemetry::layer|SdkTracerProvider' content/corpus/examples/otlp.rs	-
How do I turn on result previews?	Configuring it	seams/preview.md	requiring a custom formatter	requiring a custom formatter: preview_fn None selects the default formatter; a positive preview_limit enables recording	rg -P '\tdatafusion.preview\t' content/index/span-fields.tsv	S002
What arguments does the macro take?	Calling it	index/macros.tsv	the rendered signature	the rendered signature: rustdoc renders a macro as its header alone; the arms carry the grammar and the body is elided at every format version	cut -f1,3 content/index/macros.tsv | head -4	-
What does a preview actually look like?	Reading the trace	index/previews.tsv	the signature of pretty_format_compact_batch	the signature of pretty_format_compact_batch: four integers and a Result; nothing in it says what happens to a column that does not fit	rg -P '\tcompact\t' content/index/previews.tsv | head -3	S005
What fields does a node span carry?	Reading the trace	index/span-fields.tsv	a fixed list	a fixed list: datafusion.metrics.* is built with format!() from whatever the node reports, so the vocabulary is open	rg -P '^InstrumentedExec\t' content/index/span-fields.tsv | cut -f2,3,6	-
What is my own code leaving on the table?	Checking your own code	../queries/README.md	reading the diff	reading the diff: the mistakes here do not fail loudly: a rule registered too early still compiles and still traces, just not the plan you meant	ls queries/rules/project/	-
What span names will I see?	Reading the trace	catalogs/spans.md	the source	the source: span names are macro-generated and node-dependent; the observed set comes from upstream's snapshots	cut -f1,2 content/index/spans.tsv	-
Where do I register the instrumentation rule?	Calling it	seams/exec-instrumentation.md	ignoring later rewrites	ignoring later rewrites: later rules can preserve or change which nodes are wrapped	rg -n 'register the instrumentation rule last' content/corpus/docs/README.md	-
Which DataFusion version does this release need?	Wiring it up	index/compatibility.tsv	the version number	the version number: it has matched DataFusion's major at every release, but the column is read from each release's own manifest rather than assumed	cut -f1,4 content/index/compatibility.tsv | head -5	-
Which RuleInstrumentationOptions constructor do I want?	Configuring it	catalogs/options.md	full() or phase_only()	full() or phase_only(): those are the only two documented, and neither instruments a single phase; the ten per-phase selectors are on the undocumented builder	rg -P 'RuleInstrumentationOptionsBuilder\t' content/index/methods.tsv | cut -f2	-
Which macro do I call to instrument execution?	Calling it	catalogs/macros.md	new_instrument_rule,InstrumentedExec::new	new_instrument_rule: it is #[doc(hidden)] and upstream says it is public only because the macros need it | InstrumentedExec::new: the type is private by design and nothing public yields one	rg -P '^instrument_with_info_spans\t' content/index/macros.tsv | cut -f3	S001
Which macro instruments the planning phases?	Calling it	catalogs/macros.md	instrument_session_state	instrument_session_state: it is advertised by lib.rs and appears in NEITHER rustdoc document, hosted or private	rg -P '^instrument_rules_with_info_spans\t' content/index/macros.tsv | cut -f3	-
Which opentelemetry versions go together?	Wiring it up	catalogs/compatibility.md	version arithmetic	version arithmetic: the table records manifest combinations, not a universal compatibility rule	cut -f1,7,10 content/index/compatibility.tsv | head -5	-
Why does my EnvFilter receive nothing?	Reading the trace	catalogs/spans.md	datafusion_tracing=info	datafusion_tracing=info: the macros default target: to module_path!(), which expands at the CALL SITE, so the spans carry your crate's target and not this library's	cut -f1,2 content/index/spans.tsv | rg -v 'instrumented_object_store'	S006
Why does my custom field never appear on a span?	Calling it	catalogs/macros.md	add_custom_field alone	add_custom_field alone: it sets a value; a tracing span's field set is fixed at creation, so the key must also be declared in the macro as field::Empty	rg -n 'field::Empty' content/corpus/examples/integration-utils/src/lib.rs	S004
