crate	role	surface	task_keywords
arrow	Facade and common re-exports	Array, Schema, kernels, IPC/FFI access	Reuse existing facade imports; inspect defining subcrate
arrow-arith	Array arithmetic and Boolean/aggregate kernels	Arrays and scalars to arrays or aggregates	overflow; Kleene logic; numeric reductions
arrow-array	Typed and dynamic arrays, builders, batches	Values/buffers to ArrayRef and RecordBatch	construct batches; access nested arrays; dictionaries; views
arrow-avro	Avro decoding and encoding	Avro data and Arrow batches	read or write Avro without a relational plan
arrow-buffer	Physical buffers, offsets, null bitmaps, allocation	Byte/value buffers and offset/null structures	buffer sharing; allocation; bitmap operations
arrow-cast	Type conversion, parsing and formatting	Array plus target DataType to ArrayRef	cast failure policy; decimal/time conversion; formatting
arrow-csv	CSV reading and writing	Text records and RecordBatch	CSV codec; schema inference; projection
arrow-data	ArrayData validation and transformation	Buffer/type trees to validated or transformed ArrayData	low-level array construction; copy selected ranges
arrow-flight	Flight and Flight SQL protocol tooling	Batches and RPC protocol messages	remote batch exchange; transport integration
arrow-ipc	Arrow IPC readers, writers and metadata	Batches/schema and IPC messages/files	persist or exchange Arrow representations
arrow-json	JSON reading, decoding and writing	JSON records and RecordBatch	incremental decode; schema; output encoding
arrow-ord	Comparison, ranking and sorting kernels	Arrays to comparisons or sort indices	lexicographic sort; rank; min/max comparisons
arrow-pyarrow	Rust/PyArrow conversion helpers	Python Arrow objects and Rust Arrow values	Python interoperability; ownership boundaries
arrow-row	Comparison-oriented row encoding	Columns to Rows, and Rows to arrays	composite keys; repeated comparison; dictionary hydration
arrow-schema	DataType, Field, Schema and extension metadata	Type/schema definitions and errors	schema merge; metadata; nullability; extension types
arrow-select	Selection and arrangement kernels	Arrays/batches plus masks or indices to arrays/batches	filter; take; concat; interleave; coalesce
arrow-string	String and pattern kernels	String/binary arrays to values or Boolean arrays	like; regexp; string predicates; vectorized text
datafusion	Session and DataFrame facade/integration	SQL/expressions/sources to plans and result streams	application entry; session wiring; query execution
datafusion-catalog	Catalog implementations and reusable providers	Tables/plans/batches to catalogs and providers	MemTable; ViewTable; streaming sources; registration
datafusion-catalog-listing	File listing and table discovery	File locations/configuration to providers	ListingTable; partitioned file datasets
datafusion-common	Shared expression/plan/schema primitives	DFSchema, ScalarValue, statistics, tree helpers	qualified schemas; tree rewrites; scalar conversion; errors
datafusion-common-runtime	Runtime/task helpers	Async tasks and execution support	task ownership; runtime integration
datafusion-datasource	Reusable scan and sink infrastructure	File/source configuration to execution components	FileSource; FileOpener; projection; sinks
datafusion-datasource-arrow	Arrow IPC file source integration	IPC files to DataFusion scans	query Arrow IPC files
datafusion-datasource-avro	Avro file source integration	Avro files to DataFusion scans	query Avro files
datafusion-datasource-csv	CSV file source integration	CSV files to DataFusion scans	query CSV; CSV file options
datafusion-datasource-json	JSON file source integration	JSON files to DataFusion scans	query JSON; JSON file options
datafusion-datasource-parquet	Parquet scan integration and tuning	Parquet metadata/files to execution sources	pruning; row filters; reader factories; schema adaptation
datafusion-doc	Function documentation structures	Function documentation metadata	generate or inspect function descriptions
datafusion-execution	Runtime, memory, streams and task state	Runtime/session configuration and execution resources	memory pools; caches; disk manager; stream contracts
datafusion-expr	Logical expressions, plans and function interfaces	Typed expression/plan trees and function definitions	construct queries; function calls; logical extensions
datafusion-expr-common	Shared expression contracts	Signatures, operators and accumulator interfaces	coercion vocabulary; volatility; aggregation contracts
datafusion-ffi	DataFusion-specific foreign interfaces	Providers/functions/plans across ABI boundary	plugin interoperability; foreign lifecycle
datafusion-functions	Built-in scalar functions	Scalar/array arguments via function objects or Expr helpers	find existing numeric/string/date/core functions
datafusion-functions-aggregate	Built-in aggregate functions	Grouped inputs and aggregate state to results	count; sum; approximate or statistical aggregates
datafusion-functions-aggregate-common	Aggregate implementation helpers	Aggregate state and helper structures	reuse accumulator support; avoid duplicate mechanics
datafusion-functions-nested	Built-in nested-data functions	List/map/struct expressions and arrays	array transforms; nested access; map/list operations
datafusion-functions-table	Built-in table-valued functions	Function arguments to relational sources	generate rows; series; table functions
datafusion-functions-window	Built-in window functions	Partition/frame/order context to window results	rank; lag/lead; positional functions
datafusion-functions-window-common	Shared window-function contracts	Window expression and field metadata	window implementation support
datafusion-macros	DataFusion procedural macro support	Rust definitions to generated support	function/implementation authoring support
datafusion-optimizer	Logical analysis and optimization	LogicalPlan/Expr to analyzed or optimized trees	coercion; simplification; rewrite rules
datafusion-physical-expr	Physical expression construction and helpers	Logical expressions/schema to evaluable expressions	batch evaluation; ordering/equivalence; intervals
datafusion-physical-expr-adapter	Physical expression/schema adaptation	Expressions and differing schemas to adapted expressions	schema evolution; file/table expression reconciliation
datafusion-physical-expr-common	Shared physical expression interfaces	Batches and expressions to ColumnarValue	PhysicalExpr; expression codecs; metrics primitives
datafusion-physical-optimizer	Built-in physical optimization rules	Physical plan to transformed physical plan	partitioning; sorting; distribution; execution rewrites
datafusion-physical-plan	Built-in execution operators and plan interfaces	Physical plan partitions to RecordBatch streams	joins; sorts; aggregates; limits; metrics
datafusion-proto	Logical/physical plan protobuf conversion	Plans to/from protobuf representations	plan serialization; custom extension codecs
datafusion-proto-common	Shared protobuf conversions	Common DataFusion/Arrow values and protobuf	common type conversion; serialization support
datafusion-proto-models	Generated protobuf model types	Typed serialized plan messages	inspect wire model; use converters for executable objects
datafusion-pruning	Predicate evaluation over statistics	Predicate/statistics to candidate selections	sound pruning; file/row-group candidate reduction
datafusion-session	Shared session, provider and planner interfaces	Session/table/catalog contracts	TableProvider; scan arguments; planner integration
datafusion-spark	Spark-compatible functions and planning support	Spark-oriented syntax/functions to DataFusion plans	compatibility requirements; alternate semantics
datafusion-sql	SQL planning and unparsing	SQL AST/context to logical expressions/plans and SQL	dialects; SQL translation; unparse
